state,city,latitude,longitude,farm
JnK,anantnag,33.7311,75.1487,bhat apple orchards
JnK,gusu,33.8692,74.8436,zahoor's apple farms
JnK,dachoo,33.7622,74.9523,fruit
JnK,shopain,33.7170,74.8361,dar fruit company mohand pora shopian
JnK,srinagar,34.0837,74.7973,fruit company
JnK,panchari,33.0653,75.1565,Govt.Fruit Plant Nursery Meer Panchari
himachal pradesh,shimla,31.1048,77.1734,A Jays Apple Farms
himachal pradesh,rukhla,31.1545,77.5236,Kanwar Apple Farms
himachal pradesh,chhatar khas,32.1747,75.8694,pathaniax fruits farm
himachal pradesh,kotkhai,31.1172,77.5409,himalyan apple farm
himachal pradesh,gawass,31.1922,77.8074,singh apple orchrds
himachal pradesh,shimla,31.1048,77.1734,sanat apple orchard
punjab,chohan,31.4186,75.4505,kundlas dragon fruit farm
punjab,katehra,30.2838,74.1401,jyani fruit farm
punjab,haripura,30.1358,74.0344,achra's fruit farm
punjab,killianwali,29.9709,74.6942,saharan's fruit farming
uttarakand,nada,29.219677,79.512459,RS Tomar Apple Orchard, Reosana
uttarakand,galla,29.4578,79.6039,R P G Apple Orchard 
uttarakand,dehradun,30.3165,78.0322,fruits orchard
uttarakand,shisham bara,30.3207,77.8739,navdanya biodiversity farm
uttarakand,chaubatia,29.6138,79.4563,chaubatia apple garden
haryana,uchat,28.3943,76.2624,DHANGER FRUIT & VEGETABLE FARM
haryana,chhatrian,29.6797,74.9903,Ghorella Agriculture & Fruit Farm
haryana,fatehabad,29.5132,75.4510,Satguru Nursery And Fruit Farm
haryana,uklanamandi,29.5172,75.8684,Bhakar Fruit & Agryculture Farm
haryana,bahadurgarh,28.6914,76.9314,Farm Basket (Chemical free fruit and Vegetables)
uttar pradesh,noida,28.5355,77.3910,Farm Fresh 
uttar pradesh,ghaziabad,28.6692,77.4538,Nirmala Farm House
uttar pradesh,ghaziabad,28.6692,77.4538,Greeno Farm
uttar pradesh,tengai,25.5896,81.3922,Dragon Fruit Kaushambi
uttar pradesh,lucknow,26.8467,80.9462,Go Green Farms
bihar,mathiya,25.23826,84.2917,5 Tree Of Mix Fruit
bihar,gothra,26.4262,88.1133,Dragon Fruit Field
bihar,patna,25.5941,85.1376,Bhojpur Organic Farm
bihar,lilhaul,25.8789,86.1384,SHADAB POULTRY FARM
bihar,brahmpura,26.1279,85.3726,Farm fresh
jharkhand,jamshedpur,22.8046,86.2029,M'ma organic Farms
jharkhand,jhumri telaiya,24.4315,85.5310,Yadav farm
jharkhand,dalludih,23.8788,86.3263,Aayaan Farm
jharkhand,dhanbad,23.7957,86.4304,Dhanbad Mandi
jharkhand,jamshedpur,22.8046,86.2029,Sagar Farm Fresh
west bengal,kolkata,22.5723,88.3639,Sealdah Flower Fruit and Vegetable Open Marke
west bengal,barakar,23.7393,86.8181,Fruits Market
west bengal,kolkata,22.5723,88.3639,Gautam Green Farm
west bengal,deganga,22.6872,88.6495,APPLE BER NURSERY
west bengal,kolkata,22.5723,88.3639,Krish Agro Farms Pvt. Ltd
odisha,kainsiripali,21.4387,85.1713,Government Fruit Farm
odisha,rourkela,22.2604,84.8563,Green Park Ispat Fruit Garden
odisha,pakhada,20.3678,86.3706,PARIDA FARMING
odisha,bhawanipatna,19.9074,83.1642,Chetna Organic Odisha
odisha,bhubaneshwar,20.2961,85.8245,Kalinga Fresh Online Store
chattisgarh,palidih,22.56226,83.5148,guruji FRUITS & FARM (MM sahu)
chattisgarh,raipur,21.2514,81.6296,JKS Farm
chattisgarh,saddu,21.2790,81.6999,Farm World
chattisgarh,raipur,21.2514,81.6296,Daga Farms
chattisgarh,raipur,21.2514,81.6296,F Cube (Fresh From Farm)
telangana,moinabad,17.3268,78.2747,ABK Family's Fruit Farms
telangana,vinjapalli,18.1996,79.0857,Vidhath Custard Apple Farm
telangana,sangareddy,17.6140,78.0816,Dragon Fruit Farm in India - Deccan Exotics
telangana,nalgonda,17.0575,79.2684,Organic Fruit Farm
telangana,hyderabad,17.3850,78.4867,Dragon Fruit Consultancy Services
madhya pradesh,indore,22.7196,75.8577,Farmsbest
madhya pradesh,jabalpur,23.1815,79.9864,Modi Farm House
madhya pradesh,bhopal,23.2599,77.4126,S.M Farm Fresh Fruit & Vegetable Store
madhya pradesh,barwaha,22.2532,76.0408,Tirupati Green House Nursery
madhya pradesh,maheshwar,22.1773,75.5830,Shanta Farms
maharashtra,shirur,18.8250,74.3776,Nimone - Dragon Fruit Farm
maharashtra,kombadwadi,18.4042,76.0595,Dalvi's Organic Fruit Farm
maharashtra,jahagirdarwadi,18.2468,76.0102,Jabeen's Fruit Farm
maharashtra,kharosa,18.1427,76.6586,Surwase Dragon Fruit Farm
maharashtra,gondav,18.6905,73.2706,Ruby Woods -The Fruit Farm
andra pradesh,katikapalli,16.3147,79.923,pradeepthi fruit farm
andra pradesh,chittoor,13.2172,79.1003,Jamun Fruit Farm
andra pradesh,nadendla,16.1749,80.1847,Indian sandalwood farms
andra pradesh,bhimavaram,16.5449,81.5212,Royal Farms (Pickup Point)
andra pradesh,mandal,16.5133,80.63206,Organic grains and fruits
